AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N11,N21,Len.,Voc.,Vol.,Dif.,Eff.,ConMetric,ConLockMetric,AtomicMetric,CollSynMetric,DesThread,StartMetric,SleepMetric,YieldMetric,JoinMetric,WaitMetric,NotifyMetric,NotifyAllMetric,Syn,LockLock,LockUnlock,ConAwait,ConSignal,ConSignalAll,SemAcquire,SemRelease,LatchAwait,LatchCountDown,BarrierAwait,ThrFctNewThr,Execute,AwaitTermi,Shutdown,ShutdownNow,ThrPoolExecFinalize,StartThread,ThrPoolExecReject,NewThrPool,FutureCancel,FutureGet,FutureRun,VectorMetric,HashTableMetric,ThreadLocal,VolatileMetric,FinalMetric,FinallyMetric,
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,21,1,4,3,1,16,2,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.684210526,0.684210526,0.684210526,0.684210526,2.052631579,0,2.052631579,0,1,4.473684211,78.89473684,4.473684211,4.473684211,0,0,4.473684211,0,0,0,4.473684211,173.4210526,38.05263158,106.6315789,96.68421053,85,33.21052632,93.36842105,98.84210526,94.36842105,4.473684211,0.684210526,0.684210526,0.684210526,0.684210526,0,0.333684211,4.473684211,4.473684211,4.473684211,4.473684211,33.94736842,26.94736842,40.78947368,31.47368421,72.26315789,60.89473684,270,18.42105263,1126.210526,0,0,0,0,0,0,0,0,0,0,0,0,1.421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.73684211,0,0
2,2,2,1,9.842105263,1,7,1,1,0,1.052631579,13,13,13,1,13,0,1,0,12,243.6315789,36.73684211,122.8421053,42.05263158,60.73684211,85.05263158,61.84210526,89.84210526,36.05263158,53.78947368,7,7,7,3,3,0.692105263,27,27,36,15,178.2105263,116.8947368,394.5789474,214.3684211,608.9473684,295.1052632,2999.736842,152.9473684,59225.36842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.842105263,0,0
2,2,3,1,12,1,8.894736842,1,1,0,0,13,13,13,3,13,0,2,0,11,284.6842105,43.89473684,135.7894737,38.89473684,71.78947368,105,76.89473684,111.7894737,38.89473684,72.89473684,4,4,8,4,2,0.771052632,33.89473684,33.89473684,45.89473684,16,200.5263158,132.8947368,491.7368421,303.6842105,795.4210526,333.4210526,3857.368421,224,85262.89474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.368421053,0,0
1,1,1,1,8.894736842,0,5.947368421,2.947368421,1,0,1,8.842105263,14.84210526,14.84210526,5,14.84210526,0,0,4,10.84210526,242.4736842,24.78947368,80.73684211,32.84210526,34.36842105,143.7894737,48.47368421,67.89473684,35.57894737,32.31578947,3,3,3,1,1,1.788421053,16.52631579,16.52631579,16.52631579,8.842105263,127.4210526,76.84210526,243.8947368,126.9473684,370.8421053,204.2631579,1612.368421,94.68421053,21694.78947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.526315789,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,30,5,9,8,2,16,5,6,6,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7.727272727,0,7.727272727,0,1,0,1,1,1,1,4,1,0,0,0,1,50.72727273,10,24.72727273,18,10.72727273,16,16.72727273,18.72727273,14,4.727272727,1,1,1,1,0,0.648181818,1,1,1,1,10,12.45454545,31.63636364,21.18181818,52.81818182,22.45454545,236.5454545,8,1892.363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,4.818181818,0,4.818181818,0,1,0,0,3,3,3,1.909090909,3,0,0,0,3,51.54545455,7.818181818,27.72727273,13.45454545,10.27272727,16,16.90909091,21.81818182,11.54545455,10.27272727,1.909090909,1.909090909,1.909090909,1,0.909090909,0.597272727,3.909090909,3.909090909,3.909090909,3,24.54545455,21.81818182,54.54545455,38.45454545,93,46.36363636,398.0909091,18.36363636,3442.363636,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0,0
1.454545455,1.454545455,1.454545455,1,11.18181818,0.454545455,10.72727273,0,1,0,0,1.090909091,1.090909091,1.090909091,1.454545455,1.090909091,0,0,0,1.090909091,44.27272727,5.818181818,22.45454545,11.54545455,9.727272727,16,14.54545455,17.09090909,9.181818182,7.909090909,1.454545455,1.454545455,1.454545455,1,0.454545455,0.752727273,1.545454545,1.545454545,1.545454545,1.090909091,11.18181818,15.09090909,43.45454545,34.36363636,77.81818182,26.27272727,368,12.09090909,4728.363636,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.545454545,1.545454545,1.545454545,1,7.090909091,0,6.545454545,0,8,0,0,18.27272727,18.27272727,18.27272727,16.81818182,18.27272727,0,0,0.454545455,17.81818182,269,45.72727273,206,106.8181818,88.45454545,17.27272727,101.0909091,148.2727273,89.36363636,58.90909091,6.636363636,6.636363636,6.727272727,5,2.090909091,0.087272727,37.18181818,37.18181818,38.36363636,26,178.6363636,192.3636364,494.3636364,341,835.3636364,371,4252.545455,136.7272727,79144.45455,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0
