AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N11,N21,Len.,Voc.,Vol.,Dif.,Eff.,ConMetric,ConLockMetric,AtomicMetric,CollSynMetric,DesThread,StartMetric,SleepMetric,YieldMetric,JoinMetric,WaitMetric,NotifyMetric,NotifyAllMetric,Syn,LockLock,LockUnlock,ConAwait,ConSignal,ConSignalAll,SemAcquire,SemRelease,LatchAwait,LatchCountDown,BarrierAwait,ThrFctNewThr,Execute,AwaitTermi,Shutdown,ShutdownNow,ThrPoolExecFinalize,StartThread,ThrPoolExecReject,NewThrPool,FutureCancel,FutureGet,FutureRun,VectorMetric,HashTableMetric,ThreadLocal,VolatileMetric,FinalMetric,FinallyMetric,
2,2,2,1,10.125,0,6,3.125,2,0,2,12,12,12,10,12,0,0,3,9,204,25,106.75,40.25,61.375,73.25,64.375,91.5,43.125,48.375,7.125,7.125,7.125,1,3,0.6875,26.125,26.125,30.125,12,128.125,115.25,291.625,187.25,478.875,243.375,2304.5,96.375,30650.625,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,1,1,1,4,0,4,0,1,0,0,4,5,5,2,5,0,1,2,2,68,9,25,11,9,34,14,19,10,9,1,1,1,1,0,1.36,4,4,4,4,35,20,50,27,77,55,272,25,1661,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,24,2,5,4,2,17,3,5,4,1,1,1,1,1,0,3.4,1,1,1,1,6,2,6,2,8,8,24,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,24,2,5,4,2,17,3,5,4,1,1,1,1,1,0,3.4,1,1,1,1,6,2,6,2,8,8,24,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,24,2,5,4,2,17,3,5,4,1,1,1,1,1,0,3.4,1,1,1,1,6,2,6,2,8,8,24,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4,4,2,20,1,18,1,3,1,1,3,3,2,1,3,0,0,0,3,106,13,73,28,42,20,40,55,23,32,9,9,9,4,3,0.27,13,13,13,6,54,91,231,165,396,145,2340,46,52323,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,10,10,1,61,5,53,3,1,1,0,1,1,0,0,1,0,0,0,1,98,11,67,25,41,20,36,50,24,26,10,10,10,1,7,0.3,10,10,10,1,28,79,213,144,357,107,2406,25,60150,0,0,0,0,0,0,0,0,0,0,0,0,19.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,2,1,14,0,13,0,11,7,13,36,33,30,22,37,5,12,0,20,659,67,575,239,388,29,353,436,206,230,15,15,17,1,3,0.05,82,82,87,36,424,726,1949,1570,3519,1150,20888,397,539227,0,0,0,0,0,1,1,0,0,0,0,0,85.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
1,1,1,1,10,0,5,4,1,0,0,2,2,2,0,2,0,0,0,2,57.4375,8,19,12,6,30.4375,12,16,12,4,2,2,2,1,1,1.601875,3,3,3,2,19,23,46,38,84,42,413,15,5160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,10,0,6,3,1,0,0,2,2,2,0,2,0,0,0,2,59,9,21,14,8,29,14,18,14,4,2,2,2,1,1,1.38,3,3,3,2,20,27,52,44,96,47,492,15,6187,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,0,3,4,1,0,0,7,7,7,1,7,0,0,0,7,96.375,13,28,12,10,55.375,12,20,12,8,1,1,1,1,0,1.978125,7,7,7,7,49,27,59,33,92,76,323,28,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,6,5,1,0,1,9,9,9,2,9,0,0,8,1,162.0625,17,71.6875,30.6875,38,73.375,39.6875,53.6875,30.6875,23,3,3,3,1,1,1.02375,13,13,13,9,93.0625,80.0625,231.125,151.75,382.875,173.125,1739.8125,78.375,22163.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,7,0,3,4,1,0,0,7,7,7,1,7,0,0,0,7,96.375,13,28,12,10,55.375,12,20,12,8,1,1,1,1,0,1.978125,7,7,7,7,49,27,59,33,92,76,323,28,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,0,4,4,1,0,0,6,6,6,1,6,0,0,0,6,92.375,12,33,16,13,47.375,17,25,16,9,2,2,2,1,1,1.43125,7,7,7,6,43,34,68,43,111,77,434,24,2507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,10,0,6,4,1,1,1,6,6,5,2,6,0,1,0,5,114.375,14,47,21,23,53.375,24,34,20,14,2,2,2,1,1,1.1375,9,9,9,6,61,52,116,79,195,113,883,46,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,0,0,0,4,54.375,8,8,7,0,38.375,6,7,7,0,0,0,0,0,0,4.801875,0,0,0,0,14,8,14,8,22,22,52,6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,10,0,6,4,2,2,4,8,8,6,3,8,0,0,0,8,140.8125,18,66,28,35,56.8125,35,52,28,24,5,5,5,1,2,0.859375,15,15,15,8,72,62,165,116,281,134,1260,63,15742,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2,2,2,1,12,0,7,4,1,0,0,4,4,4,0,4,0,0,0,4,91.375,11,42,23,17,38.375,20,29,20,9,5,5,5,1,2,0.914375,8,8,8,4,35,52,102,82,184,87,977,23,13028,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,2,0,0,0,2,68.375,8,11,10,2,49.375,9,10,10,0,0,0,0,0,0,4.490625,0,0,0,0,10,9,10,10,20,19,65,5,176,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3,3,3.6875,1,29.375,2,21.6875,5,1,4,0,4,4,0,0,4,0,0,0,4,205.1875,17.375,102.75,38.6875,66.0625,85.0625,69.375,85.0625,37.6875,47.375,7.6875,7.6875,8.6875,1,3,0.83,13.6875,13.6875,15.6875,4,67.6875,119.0625,300.5625,227.875,528.4375,186.75,3175.9375,59.375,68080.8125,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,2,1,9,0,9,0,1,2,0,6,6,4,1,6,0,3,1,2,100.8125,14,64,22,39,22.8125,38,52,23,29,3,3,3,3,2,0.35625,13,13,13,8,77,77,198,137,335,154,1621,65,21722,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,15,1,11,3,1,0,0,2,2,2,0,2,0,0,0,2,68.375,8,32,17,13,28.375,17,23,15,8,4,4,4,1,2,0.888125,5,5,5,2,25,45,80,67,147,70,797,16,8740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,20,1,13,6,1,0,0,2,2,2,0,2,0,0,0,2,79,8,36,19,18,35,22,27,16,11,3,3,3,1,1,0.97,4,4,4,2,25,52,90,82,172,77,966,17,11631,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,18,1,12,5,1,0,0,7,7,7,1,7,0,0,0,7,178.375,21,99,44,68,58.375,65,81,44,37,6,6,7,1,2,0.59375,15,15,16,7,78,115,336,261,597,193,3239,81,88520,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,15,1,11,2.846153846,4,1,2,72,72,71,31,72,58,3,0,11,1351,182,861.9230769,229.8461538,582.2307692,316.0769231,340.5384615,485.2307692,202.8461538,282.3846154,6,6,7,4,3,0.368461538,149.6923077,149.6923077,156.5384615,99,744.0769231,1066.538462,2568.846154,1865.846154,4434.692308,1810.615385,23414.69231,577.9230769,316013.9231,0,0,0,0,0,0,0,0,0,0,0,0,122.8461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
1,1,1,1,23,0,20,2,1,0,1,4,4,4,2,4,0,1,1,2,154,12,105,44,68,38,61,69,36,33,4,4,4,1,1,0.36,7,7,7,4,47,108,253,214,467,155,2677,42,46984,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,2,1,21,0,17,3,1,0,0,2,2,2,0,2,0,1,0,1,73.15384615,6.461538462,43.69230769,21.69230769,29,24,29.46153846,35.46153846,21.46153846,14,2,2,2,1,1,0.550769231,4,4,4,2,31,62,143,122,265,93,1493,29,21985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,32,1,26,5,1,0,0,3,3,3,0,3,0,1,0,2,130.6153846,12.23076923,86.38461538,32.38461538,67,32,58.92307692,66.92307692,29.92307692,37,2,2,2,1,1,0.373076923,6,6,6,3,45,110,287,247,534,155,3161,48,56732,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,31,0,30,1,1,0,0,1,1,1,0,1,0,0,0,1,57,4,35,13,26,18,20,23,12,11,2,2,2,1,1,0.51,2,2,2,1,13,52,97,86,183,65,1102,10,11020,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,56,7,37,12,1,0,0,1,1,1,0,1,0,0,0,1,85.69230769,10.23076923,44.46153846,16.46153846,32,31,30.23076923,33.23076923,13.23076923,20,2,2,2,1,1,0.693076923,2,2,2,1,15,54,137,101,238,69,1453,14,20342,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
