AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N11,N21,Len.,Voc.,Vol.,Dif.,Eff.,ConMetric,ConLockMetric,AtomicMetric,CollSynMetric,DesThread,StartMetric,SleepMetric,YieldMetric,JoinMetric,WaitMetric,NotifyMetric,NotifyAllMetric,Syn,LockLock,LockUnlock,ConAwait,ConSignal,ConSignalAll,SemAcquire,SemRelease,LatchAwait,LatchCountDown,BarrierAwait,ThrFctNewThr,Execute,AwaitTermi,Shutdown,ShutdownNow,ThrPoolExecFinalize,StartThread,ThrPoolExecReject,NewThrPool,FutureCancel,FutureGet,FutureRun,VectorMetric,HashTableMetric,ThreadLocal,VolatileMetric,FinalMetric,FinallyMetric,
1,1,1,1,7,0,5,1,1,0,0,2,2,2,1,2,0,0,0,2,68,8,23,15,3,37,11,14,12,2,1,1,1,1,0,1.61,2,2,2,2,16,19,24,26,50,35,210,10,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,2,0,0,0,65,6,14,12,1,45,9,10,10,0,0,0,0,0,0,3.21,0,0,0,0,8,14,10,14,24,22,84,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,15,1,9,5,1,0,1,15,15,15,4,15,0,0,0,15,311,48,153,37,62,110,58,87,39,48,4,4,4,3,1,0.72,29,29,29,21,145,118,313,186,499,263,2262,103,23618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,8,0,5,2,1,0,10,17,17,17,3,17,0,0,0,17,249,42,118,41,51,89,49,69,40,29,11,3,11,1,2,0.75,27,19,27,17,107,74,169,98,267,181,1076,60,9085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,2,5,3,0,26,1,2,2,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,16,4,11,1,1,0,1,1,1,1,0,1,0,0,0,1,53,9,19,8,7,25,11,13,8,5,2,2,2,1,1,1.32,2,2,2,1,11,21,43,34,77,32,385,8,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,46,4,8,6,1,34,4,5,5,0,0,0,0,0,0,4.25,0,0,0,0,5,6,5,6,11,11,38,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,4,8,1,0,0,2,2,2,0,2,0,0,0,2,55,3,13,5,2,39,3,6,4,2,1,1,1,1,0,3,2,2,2,2,11,8,14,11,25,19,81,7,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,9,0,4,5,1,0,0,5,5,5,2,5,0,0,0,5,91,9,29,11,6,53,11,17,11,6,1,1,1,1,0,1.83,5,5,5,5,32,23,37,27,64,55,226,17,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,1,142,3,134,7,1,0,1,1,1,1,0,1,0,0,0,1,185,8,143,22,81,36,55,79,21,58,24,24,24,1,5,0.25,24,24,24,1,13,82,380,335,715,95,4697,26,122122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,2,1,16,1,14,1,1,0,0,1,1,1,0,1,0,0,0,1,52,7,23,11,9,22,13,16,9,7,2,2,2,1,1,0.96,2,2,2,1,13,20,41,35,76,33,383,11,4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,1,5,1,1,0,0,1,1,1,0,1,0,0,0,1,43,7,14,9,1,22,6,8,7,1,1,1,1,1,0,1.57,1,1,1,1,8,8,9,9,18,16,72,4,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
