AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N11,N21,Len.,Voc.,Vol.,Dif.,Eff.,ConMetric,ConLockMetric,AtomicMetric,CollSynMetric,DesThread,StartMetric,SleepMetric,YieldMetric,JoinMetric,WaitMetric,NotifyMetric,NotifyAllMetric,Syn,LockLock,LockUnlock,ConAwait,ConSignal,ConSignalAll,SemAcquire,SemRelease,LatchAwait,LatchCountDown,BarrierAwait,ThrFctNewThr,Execute,AwaitTermi,Shutdown,ShutdownNow,ThrPoolExecFinalize,StartThread,ThrPoolExecReject,NewThrPool,FutureCancel,FutureGet,FutureRun,VectorMetric,HashTableMetric,ThreadLocal,VolatileMetric,FinalMetric,FinallyMetric,
2,2,2,1,16,0,12,3,1,1,1,5,5,4,10,5,2,0,0,3,137,16,87,37,48,35,60,71,36,35,5,5,5,1,1,0.4,12,12,12,5,74,120,258,202,460,194,2499,59,35073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,13.5,0,12,0.5,1,1,0.75,13,13,12,8.25,13,3,0,0,10,256.25,28.25,190.5,57.5,116,37.5,106,143,55,88,11,9,11,1,2,0.195,35,33,35,13,192,229,609.25,407.75,1017,421,5506.75,157.75,113707.75,0,0,0,0,0,0,0,0,0,3,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
2,2,2,1,12,0,11.5,0,6.5,3,6.75,26.08333333,26.08333333,23.08333333,18.08333333,26.08333333,3.5,6.75,0,15.83333333,445.25,40.16666667,361.75,116.4166667,220.0833333,43.33333333,199.3333333,278.1666667,117.4166667,160.75,11,11,12.5,7.25,5,0.1175,62.83333333,62.83333333,65.33333333,36.33333333,337.3333333,366.75,1028,666.8333333,1694.833333,704.0833333,9183.833333,280.0833333,194680,2,0,0,0,1.5,1.5,0,0,1.5,1.5,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,9.5,2.5,0
1,1,1,1,4,0,4,0,4,1,0,7,7,6,4,7,0,0,0,7,81,13,48,18,20,20,16,29,17,12,3,2,3,1,1,0.42,10,9,10,7,61,28,81,35,116,89,441,40,2729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,1,20,0,19,0,1,0,0,5,5,5,7,5,1,0,0,4,157,7,113,26,72,37,64,88,26,62,12,12,14,1,4,0.33,22,22,24,5,78,66,349,222,571,144,3098,120,149514,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,14,0,13,1,1,0,3,12,12,12,5,12,3,6,0,3,264,19,187,65,112,59,104,143,67,76,7,7,7,4,2,0.32,33,33,33,19,170,195,538,373,911,365,4958,150,99113,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0
2,2,2,1,9,0,9,0,1,0,1,7,7,7,5,7,0,0,0,7,113,9,77,26,40,27,37,56,26,30,4,4,4,1,3,0.35,17,17,18,7,97,63,180,107,287,160,1360,80,22291,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,4,5,2,22,0,21,0,2,4,4,16,16,12,7,16,2,9,0,5,454,27,379,87,246,48,181,283,94,189,21,21,24,7,3,0.13,76,76,82,33,309,326,1207,758,1965,635,11461,331,402606,0,0,0,0,0,0,0,0,0,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0
1.5,1.5,1.5,1,10.5,0.25,8.25,1.75,1,0.5,0.5,9,9,8.5,5.25,9,5.5,0.5,0,3,146.25,15,89,29.25,51,42.25,52,70,29.75,40.25,6.5,6.5,6.5,3,3.5,0.475,16.5,16.5,16.5,11,90.5,75.75,249.25,165.5,414.75,166.25,2104.75,81.25,49441.5,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0
1,1,1,1,4,0,4,0,1,0,3,23,23,23,7,23,7,1,0,15,151,4,123,42,60,24,60,91,40,51,3,3,3,3,2,0.2,31,31,32,25,206,116,315,166,481,322,1968,131,17129,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
